
2,"紙と水で人工の雪を作ってる。雪屋。進行。エキストラ待機場のこと。アクション俳優。エキストラメイク室がホール。それぞれに時間潰すエキストラ。トイレが凍ってエキストラトイレ使えない。全員精神擦り切らして…
>>続きを読む"
3,"すげえええドラマが良すぎたせいとかではなくて裏側もすげえええええ
と言うか冬の王の中の人ってそうだったんだ…これ見て知った
みんな楽しそうでめちゃくちゃ良かった"
4,"ゲームオブスローンズ最終章のメイキング映像です。
これを見る為にまた第一章から最終章まで見返してたのでやっと見れた！

台本の読み合わせの所が印象的でしたね。
ジョン・スノウ役のキット・ハリントンは…
>>続きを読む"
5,"ドラマ2周目観終わったので見てみました。

キャストの人達がで台本読みながら皆んなで喜んだり泣いたりしてるシーンが良かったです。関わってる人の多さに驚きました。"
6,"ずーっと気になってましたが、ドラマの最終章を見終わったら、自動再生で続けて観ることが出来ました笑

これはドラマ版を全部観てからの方が絶対いいです！ネタバレがバンバン入ります😆

メンバー全員での台…
>>続きを読む"
7,"最近完走した『ゲーム・オブ・スローンズ』、その最終章製作に密着したドキュメンタリー

いわゆるメイキングは俳優の姿が写されることが多いが、ここでは裏方の姿が主
美術、メイク、衣裳等…
この世界観を作…
>>続きを読む"
8,"『ゲーム・オブ・スローンズ 最終章』制作の1年を追ったメイキング作品。

どんだけ大変なことか。常軌を逸した規模。みんな辛そうやけどよく頑張ったね！という気持ち。"
9,"『ゲームオブスローンズ最終章』の
メイキング映画。
私生のベストドラマ２位の本作
素晴らし過ぎて何度も目頭が熱くなって…
“壮大な”って言葉じゃ足りなかったよ。

台本の初読み合わせで
初めてデナー…
>>続きを読む"
10,"本当に本当にありがとう。

ゲームオブスローンズに関わる全ての人々、このドキュメンタリーを作ってくれた人々。



こういう舞台裏描く系って「これ本当にリアルな雰囲気なのかな？」って思うことも多い…
>>続きを読む"
Review Number,Review Text
1,"ゲースロの余韻が重すぎたので、なんとか昇華したい思いでみたラストウォッチ。
良かったです。

あのドラマが作り物で良かった〜〜！
実在してなくて良かった！
と思った笑(当たり前)

撮影現場の裏側が…
>>続きを読む"
2,"ロス者にはもってこいの裏側が見れる
みんな笑い合ってて良かった"
3,"キャストさんの仲の良さが伝わってきて、こちらまで暖かくなった。
個人的にはドラマ史上最高の作品だと思っているので、そんな作品の制作側を少しでも知れたのが嬉しい。"
4,"GOTの撮影裏側ドキュメンタリー。
わたしにもエキストラジャケットください、、、"
5,"世界的大ヒットコンテンツ〈ゲーム・オブ・スローンズー最終章ー〉の舞台裏に密着したドキュメント👑🪑⚔️

シナリオの漏洩を防ぐ為、出番のないキャストまでもが海外の撮影現場入りして、ヤジ馬たちの目をくら…
>>続きを読む"
6,"記録 2023/02/21_(11)
ゲームオブスローンズは
勤勉で優秀な人たちの手で作り上げた
魅惑的な世界よ"
7,"🤩「ゲーム・オブ・スローンズ」を愛する者ならば必見の制作過程の現場ドキュメンタリー🤩この刺繍タペストリーもじっくり見たい

想像していたよりも、実際に建設した規模の大きさに驚きました。まさか、あの街…
>>続きを読む
#旅人したい‼︎#♡トアマンド♡#映画の学校#こんなドキュメンタリーを観た"
8,
9,"ドラマ最終章制作の裏側についてのドキュメンタリー。めちゃくちゃ面白い。
メインキャストに限らずエキストラ、舞台、美術、メイク、演技指導、雪職人に至るまであらゆる分野のプロフェッショナルが力を合わせて…
>>続きを読む"
10,"色んな俳優の素顔や、名シーンの裏側、セットの作られ方とかもう本当最高…ご馳走様でした。ドラマ制作の裏側にはこんなにも多くの苦労があったなんて想像できなかったな。セットの規模がデカすぎてまじでテンショ…
>>続きを読む"
Review Number,Review Text
1,"ゲームオブスローンズ（GOT）最終章の裏側を記録したドキュメンタリー。めちゃくちゃ良かった！

GOTのドラマ好きすぎるのですが、そうじゃなくても単純にドキュメンタリーとして素晴らしかったです。何年…
>>続きを読む"
2,"どこまでが本物でどこからがCGなのかわからなかったので興味深かった。
夜の撮影、本当に大変だ…。
几帳面な雪職人のおじさんが好き。
ジョラーをちょこちょこ見られて嬉しい。
夜の王の素顔も素敵。
本読…
>>続きを読む"
3,"これを観るために8シーズン観たようなもん。
キャスト、エキストラ、美術担当などなどスタッフの作品への愛があってこそ、この大作が完結したんだな。絶対ハードだけど羨ましい。"
4,"超すげー👀👀👀
本読みで演者が死ぬシーンで泣いたり励ましてるのが凄かった。"
5,"キャストの裏側は少ないけれど見応えありました！
本当に大好きな作品の一つ。"
6,"本編を完走したので視聴したけど、こんなにも沢山の人々が関わっているのか、というあまりの規模の大きさと手間のかかり方に改めて脱帽した。最終章は特に規模が段違いだったので、完成させるためにさまざまな分野…
>>続きを読む"
7,映画の裏方のドキュメンタリーがあるからこそさらにその映画の世界が好きになる。一人一人が自分の役割を全うすることで凄い作品が作れることがよくわかった。
8,"やっと最終章のラスト回に辿り着き、その余韻のまま、このドキュメンタリー。

最高です。

ドラマの方をTV画面で、タブレットには相関図を広げ、見失ったら復習するスタイルで、観てきました。
興奮がまだ…
>>続きを読む"
9,
10,『ゲームオブスローンズ』最終章の舞台裏ドキュメンタリー。演者ではなくスタッフに焦点が当てられている。GoTに関わった全ての人達に敬意。最後の読み合わせのシーン泣けた。
Review Number,Review Text
1,"撮影現場ってなんであんなに楽しそうに見えるんだろうな...　わたしも台本のシュレッダー係やりたい（ほかにできそうなことが思いつかない）。

エキストラのお兄さんが映るか映らないかわからなくても演技し…
>>続きを読む"
2,"キャストよりスタッフに焦点を当てたドキュメンタリー。

出来れば最終回を見た後すぐに鑑賞したかったかな。"
3,"GOT最終章制作裏の中でも美術に特化したドキュメンタリーになっている。粗悪なクオリティは許されない大人気コンテンツ故の労力と、長期間撮影の疲労が伝わってくるが、クランクアップまで走りきれたのは作品へ…
>>続きを読む"
4,"このドキュメンタリーは2年前にザっと観たけど、全シリーズ再鑑賞したので、これもまた再鑑賞。シリーズの理解度が深まったから、さらに面白かった。

最初の方で、お馴染みのキャラクター達が出てくるんだけど…
>>続きを読む"
5,"ゲーム・オブ・スローンズの熱気が冷めやらず視聴。ゴールの先を観たい気持ちと終わらないで欲しい気持ちが同時に存在する。これほどまでの大作なら当然か。
数え切れない人たちの血と汗と涙と命と神経と人生を削…
>>続きを読む"
6,"ゲームオブスローンズ最終シーズンの撮影を1年間追った密着ドキュメンタリー。ハウスオブザドラゴン見てたら関連で出てきて知った。もっと早く見たかった‥

俳優陣も登場するけど、メインは現場監督や美術、エ…
>>続きを読む"
7,"もう終わってほしいという想いと、
終わらないでほしいという想いが混ざった複雑な感情。

え？そんな所まで？
と思うほど細部までこだわり抜いた裏側。

想像を遥かに超えた関係者の数。
あの人達全員のお…
>>続きを読む"
8,"エモエモだった。
ほんとうに作品のスケールがすごい。
こんな作品いつかやってみたい！"
9,"非常に良かった！！！
私こういう裏側見るの大好き！！！！
まじで感謝しかないな...

衣装とかセットとか、セリフの読み合わせとか
細かいところを見れるの嬉しいな...
というか、キャストだけでもと…
>>続きを読む"
10,"キャストが全然出てこないスタッフたちの戦いのドキュメンタリー
大変な思いをしながら弱音を吐きながらも作品に向き合う姿をみせてもらえてよかった
普通に口が悪いのもよかった、特にロケ現場担当の女性スタッ…
>>続きを読む"
